"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2021","55.00","53.00","55.30","52.95","9.86M","3.58%"
"12/22/2021","53.10","53.00","53.10","52.20","2.78M","0.28%"
"12/21/2021","52.95","52.90","53.20","52.50","7.78M","0.09%"
"12/20/2021","52.90","53.00","53.15","52.05","3.12M","-0.19%"
"12/17/2021","53.00","52.20","53.00","51.80","4.49M","0.76%"
"12/16/2021","52.60","50.15","52.70","50.15","7.79M","4.99%"
"12/15/2021","50.10","51.80","51.80","50.05","4.35M","-3.93%"
"12/14/2021","52.15","51.05","52.95","50.50","7.80M","2.46%"
"12/13/2021","50.90","51.50","51.50","50.75","1.15M","-1.17%"
"12/10/2021","51.50","51.95","51.95","50.75","2.50M","-0.96%"
"12/09/2021","52.00","50.55","52.40","49.80","9.71M","2.87%"
"12/07/2021","50.55","50.45","51.00","50.30","1.71M","-0.88%"
"12/06/2021","51.00","49.45","51.00","49.00","3.36M","3.03%"
"12/03/2021","49.50","48.90","49.80","48.90","2.23M","1.54%"
"12/02/2021","48.75","49.05","50.30","48.60","5.10M","-2.01%"
"12/01/2021","49.75","49.80","50.85","49.00","6.63M","-0.30%"
"11/29/2021","49.90","48.00","49.90","47.00","7.47M","0.00%"
"11/26/2021","49.90","50.55","50.80","49.85","4.29M","-1.19%"
"11/25/2021","50.50","51.50","51.50","50.50","2.75M","-2.04%"
"11/24/2021","51.55","52.00","53.00","51.55","3.16M","-0.87%"
"11/23/2021","52.00","50.90","52.00","50.15","2.70M","2.16%"
"11/22/2021","50.90","50.10","51.50","50.00","1.52M","1.60%"
"11/19/2021","50.10","50.80","51.00","49.20","4.70M","-1.38%"
"11/18/2021","50.80","51.50","51.70","50.80","1.28M","-1.74%"
"11/17/2021","51.70","50.70","51.95","50.70","2.85M","2.07%"
"11/16/2021","50.65","51.00","51.50","50.35","2.21M","-0.69%"
"11/15/2021","51.00","51.30","51.75","50.90","1.05M","-0.20%"
"11/12/2021","51.10","51.60","52.10","51.00","3.53M","-0.97%"
"11/11/2021","51.60","52.10","52.20","51.50","4.03M","-1.34%"
"11/10/2021","52.30","52.20","53.70","52.10","4.89M","0.38%"
"11/09/2021","52.10","50.50","52.15","50.45","9.61M","3.58%"
"11/08/2021","50.30","49.30","51.00","49.30","5.22M","2.24%"
"11/05/2021","49.20","49.85","49.90","49.20","3.26M","-1.30%"
"11/04/2021","49.85","50.00","50.00","49.70","2.28M","0.10%"
"11/03/2021","49.80","49.50","50.15","49.25","4.26M","1.63%"
"11/02/2021","49.00","48.15","50.25","47.65","5.62M","2.73%"
"10/29/2021","47.70","48.15","48.80","47.65","2.09M","-0.83%"
"10/28/2021","48.10","48.70","49.20","48.00","1.81M","-1.33%"
"10/27/2021","48.75","49.25","49.90","48.75","2.20M","-1.52%"
"10/26/2021","49.50","49.00","49.50","48.95","1.33M","1.02%"
"10/25/2021","49.00","49.30","49.70","48.90","1.07M","-0.61%"
"10/22/2021","49.30","49.70","49.70","49.10","1.03M","-1.00%"
"10/21/2021","49.80","49.90","50.00","49.50","1.59M","-0.20%"
"10/20/2021","49.90","49.00","49.90","49.00","2.28M","1.84%"
"10/19/2021","49.00","49.75","50.00","48.75","2.57M","-1.61%"
"10/18/2021","49.80","50.20","50.20","48.70","4.14M","-0.99%"
"10/15/2021","50.30","50.20","50.40","50.15","3.58M","0.20%"
"10/14/2021","50.20","49.75","50.25","49.65","7.65M","1.01%"
"10/13/2021","49.70","49.65","49.80","48.70","4.22M","0.20%"
